Carimbo,ID do lead,Nome,WhatsApp,E-mail,Cenário (Etapa 1),A1,A2,B1,B2,C1,C2,D1,D2,D3,D4,E1,E2,E3,E4,E5,"=ARRAYFORMULA(IF(ROW(A:A)=1;""Bloco A"";IF(B:B="""";"""";ROUND((G:G+H:H)/2;2))))","=ARRAYFORMULA(IF(ROW(A:A)=1;""Bloco B"";IF(B:B="""";"""";ROUND((I:I+J:J)/2;2))))","=ARRAYFORMULA(IF(ROW(A:A)=1;""Bloco C"";IF(B:B="""";"""";ROUND((K:K+L:L)/2;2))))","=ARRAYFORMULA(IF(ROW(A:A)=1;""Bloco D"";IF(B:B="""";"""";ROUND((M:M+N:N+O:O+P:P)/4;2))))","=ARRAYFORMULA(IF(ROW(A:A)=1;""Bloco E"";IF(B:B="""";"""";ROUND((Q:Q+R:R+S:S+T:T+U:U)/5;2))))","=ARRAYFORMULA(IF(ROW(A:A)=1;""TD"";IF(B:B="""";"""";ROUND((V:V+W:W+X:X+Y:Y+Z:Z)/5;2))))","=ARRAYFORMULA(IF(ROW(A:A)=1;""Bloco dominante"";IF(B:B="""";"""";IF(V:V>=W:W;IF(V:V>=X:X;IF(V:V>=Y:Y;IF(V:V>=Z:Z;""A"";""E"");IF(Y:Y>=Z:Z;""D"";""E""));IF(X:X>=Y:Y;IF(X:X>=Z:Z;""C"";""E"");IF(Y:Y>=Z:Z;""D"";""E"")));IF(W:W>=X:X;IF(W:W>=Y:Y;IF(W:W>=Z:Z;""B"";""E"");IF(Y:Y>=Z:Z;""D"";""E""));IF(X:X>=Y:Y;IF(X:X>=Z:Z;""C"";""E"");IF(Y:Y>=Z:Z;""D"";""E"")))))))","=ARRAYFORMULA(IF(ROW(A:A)=1;""Onde está o gargalo"";IF(B:B="""";"""";IF(AB:AB=""A"";""Exigência e Responsabilização"";IF(AB:AB=""B"";""Autonomia da Equipe e Execução"";IF(AB:AB=""C"";""Reuniões e Prazos"";IF(AB:AB=""D"";""Delegação e Maturidade do Time"";IF(AB:AB=""E"";""Cultura, Alinhamento e Retenção"";""—""))))))))","=ARRAYFORMULA(IF(ROW(A:A)=1;""Lead Hot"";IF(B:B="""";"""";IF((AA:AA>8)+(V:V=10)+(W:W=10)+(Y:Y=10)>0;""SIM"";""não""))))","=ARRAYFORMULA(IF(ROW(A:A)=1;""Abrir a call por"";IF(F:F="""";"""";IF(F:F=""O Adiador"";""Bloco A (Exigência) e E4 (medo de ser impopular)"";IF(F:F=""O Gargalo"";""Bloco B (Autonomia e o que fazemos agora?)"";IF(F:F=""Time que não Assume"";""Bloco D (Delegação) e A2 (culpabilização externa)"";IF(F:F=""Plano que não Vira Execução"";""Bloco C (Reuniões e Prazos) e D2 (confiança na meta)"";""—"")))))))",,PAINEL — atualiza sozinho,,,
12/08/2026 14:30,EXEMPLO-1,APAGUE ESTA LINHA,(11) 99999-0001,exemplo@empresa.com.br,O Adiador,10,8,4,4,8,8,4,0,4,10,8,4,10,10,4,,,,,,,,,,,,,,,
12/08/2026 15:10,EXEMPLO-2,APAGUE ESTA LINHA,(11) 99999-0002,exemplo2@empresa.com.br,O Gargalo,10,10,10,8,8,10,10,8,10,10,8,8,10,10,8,,,,,,,,,,,,Números gerais,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Respostas recebidas,=COUNT(AA:AA),,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TD médio,"=IF(COUNT(AA:AA)=0;""—"";ROUND(AVERAGE(AA:AA);2))",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TD mais alto,"=IF(COUNT(AA:AA)=0;""—"";MAX(AA:AA))",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TD mais baixo,"=IF(COUNT(AA:AA)=0;""—"";MIN(AA:AA))",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leads Hot,"=COUNTIF(AD:AD;""SIM"")",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,% de Leads Hot,"=IF(COUNT(AA:AA)=0;""—"";ROUND(100*COUNTIF(AD:AD;""SIM"")/COUNT(AA:AA);1)&""%"")",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Média por bloco,Nota,,"Quanto mais alto, maior o gap"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bloco A,"=IF(COUNT(V:V)=0;""—"";ROUND(AVERAGE(V:V);2))",,Exigência e Responsabilização
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bloco B,"=IF(COUNT(W:W)=0;""—"";ROUND(AVERAGE(W:W);2))",,Autonomia da Equipe e Execução
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bloco C,"=IF(COUNT(X:X)=0;""—"";ROUND(AVERAGE(X:X);2))",,Reuniões e Prazos
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bloco D,"=IF(COUNT(Y:Y)=0;""—"";ROUND(AVERAGE(Y:Y);2))",,Delegação e Maturidade do Time
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bloco E,"=IF(COUNT(Z:Z)=0;""—"";ROUND(AVERAGE(Z:Z);2))",,"Cultura, Alinhamento e Retenção"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bloco dominante,Leads,% do total,Por onde a call abre
